ROI_COL,ROI_INDEX,ROI_LEVEL,ROI_BRIEF,ROI_NAME,NUM_VOX,HEMISPHERE,TISSUE_SEG,SUBGROUP_0,SUBGROUP_1,SUBGROUP_2,PAIR_INDEX
R114,114,SINGLE,Right Cun,Right Cun   cuneus,5884.9,R,GM,OCCIPITAL,OCCIPITAL_GM,OCCIPITAL_MEDIAL_GM,48
R115,115,SINGLE,Left Cun,Left Cun   cuneus,5314.7,L,GM,OCCIPITAL,OCCIPITAL_GM,OCCIPITAL_MEDIAL_GM,48
R116,116,SINGLE,Right Ent,Right Ent   entorhinal area,2120.6,R,GM,LIMBIC,LIMBIC_GM,LIMBIC_MEDIALTEMPORAL_GM,40
R117,117,SINGLE,Left Ent,Left Ent   entorhinal area,1887.4,L,GM,LIMBIC,LIMBIC_GM,LIMBIC_MEDIALTEMPORAL_GM,40
R118,118,SINGLE,Right FO,Right FO    frontal operculum,2548.3,R,GM,FRONTAL,FRONTAL_GM,FRONTAL_OPERCULAR_GM,34
R119,119,SINGLE,Left FO,Left FO    frontal operculum,2489.9,L,GM,FRONTAL,FRONTAL_GM,FRONTAL_OPERCULAR_GM,34
R120,120,SINGLE,Right FRP,Right FRP   frontal pole,4673.7,R,GM,FRONTAL,FRONTAL_GM,FRONTAL_LATERAL_GM,20
R121,121,SINGLE,Left FRP,Left FRP   frontal pole,4392.8,L,GM,FRONTAL,FRONTAL_GM,FRONTAL_LATERAL_GM,20
R122,122,SINGLE,Right FuG,Right FuG   fusiform gyrus,8000.9,R,GM,TEMPORAL,TEMPORAL_GM,TEMPORAL_INFERIOR_GM,58
R123,123,SINGLE,Left FuG,Left FuG   fusiform gyrus,8077.2,L,GM,TEMPORAL,TEMPORAL_GM,TEMPORAL_INFERIOR_GM,58
R124,124,SINGLE,Right Gre,Right GRe   gyrus rectus,2699.9,R,GM,FRONTAL,FRONTAL_GM,FRONTAL_MEDIAL_GM,27
R125,125,SINGLE,Left Gre,Left GRe   gyrus rectus,2920.3,L,GM,FRONTAL,FRONTAL_GM,FRONTAL_MEDIAL_GM,27
R128,128,SINGLE,Right IOG,Right IOG   inferior occipital gyrus,7633,R,GM,OCCIPITAL,OCCIPITAL_GM,OCCIPITAL_LATERAL_GM,43
R129,129,SINGLE,Left IOG,Left IOG   inferior occipital gyrus,7403.4,L,GM,OCCIPITAL,OCCIPITAL_GM,OCCIPITAL_LATERAL_GM,43
R132,132,SINGLE,Right ITG,Right ITG   inferior temporal gyrus,12693.2,R,GM,TEMPORAL,TEMPORAL_GM,TEMPORAL_LATERAL_GM,59
R133,133,SINGLE,Left ITG,Left ITG   inferior temporal gyrus,12612.3,L,GM,TEMPORAL,TEMPORAL_GM,TEMPORAL_LATERAL_GM,59
R134,134,SINGLE,Right LiG,Right LiG   lingual gyrus,8366,R,GM,OCCIPITAL,OCCIPITAL_GM,OCCIPITAL_MEDIAL_GM,49
R135,135,SINGLE,Left LiG,Left LiG   lingual gyrus,8386.3,L,GM,OCCIPITAL,OCCIPITAL_GM,OCCIPITAL_MEDIAL_GM,49
R136,136,SINGLE,Right LOrG,Right LOrG  lateral orbital gyrus,2864.1,R,GM,FRONTAL,FRONTAL_GM,FRONTAL_INFERIOR_GM,15
R137,137,SINGLE,Left LOrG,Left LOrG  lateral orbital gyrus,3015.9,L,GM,FRONTAL,FRONTAL_GM,FRONTAL_INFERIOR_GM,15
R138,138,SINGLE,Right MCgG,Right MCgG  middle cingulate gyrus,5475.1,R,GM,LIMBIC,LIMBIC_GM,LIMBIC_CINGULATE_GM,38
R139,139,SINGLE,Left MCgG,Left MCgG  middle cingulate gyrus,5335.1,L,GM,LIMBIC,LIMBIC_GM,LIMBIC_CINGULATE_GM,38
R140,140,SINGLE,Right MFC,Right MFC   medial frontal cortex,2202.6,R,GM,FRONTAL,FRONTAL_GM,FRONTAL_MEDIAL_GM,28
R141,141,SINGLE,Left MFC,Left MFC   medial frontal cortex,2245.2,L,GM,FRONTAL,FRONTAL_GM,FRONTAL_MEDIAL_GM,28
R142,142,SINGLE,Right MFG,Right MFG   middle frontal gyrus,22580.4,R,GM,FRONTAL,FRONTAL_GM,FRONTAL_LATERAL_GM,21
R143,143,SINGLE,Left MFG,Left MFG   middle frontal gyrus,22847.3,L,GM,FRONTAL,FRONTAL_GM,FRONTAL_LATERAL_GM,21
R144,144,SINGLE,Right MOG,Right MOG   middle occipital gyrus,6792.1,R,GM,OCCIPITAL,OCCIPITAL_GM,OCCIPITAL_LATERAL_GM,44
R145,145,SINGLE,Left MOG,Left MOG   middle occipital gyrus,7232.9,L,GM,OCCIPITAL,OCCIPITAL_GM,OCCIPITAL_LATERAL_GM,44
R146,146,SINGLE,Right MOrG,Right MOrG  medial orbital gyrus,4526.7,R,GM,FRONTAL,FRONTAL_GM,FRONTAL_INFERIOR_GM,16
R147,147,SINGLE,Left MOrG,Left MOrG  medial orbital gyrus,4637.3,L,GM,FRONTAL,FRONTAL_GM,FRONTAL_INFERIOR_GM,16
R148,148,SINGLE,Right MPoG,Right MPoG  postcentral gyrus medial segment,1162.5,R,GM,PARIETAL,PARIETAL_GM,PARIETAL_MEDIAL_GM,55
R149,149,SINGLE,Left MPoG,Left MPoG  postcentral gyrus medial segment,1400.3,L,GM,PARIETAL,PARIETAL_GM,PARIETAL_MEDIAL_GM,55
R150,150,SINGLE,Right MPrG,Right MPrG  precentral gyrus medial segment,2944.5,R,GM,FRONTAL,FRONTAL_GM,FRONTAL_MEDIAL_GM,29
R151,151,SINGLE,Left MPrG,Left MPrG  precentral gyrus medial segment,3081.3,L,GM,FRONTAL,FRONTAL_GM,FRONTAL_MEDIAL_GM,29
R152,152,SINGLE,Right MSFG,Right MSFG  superior frontal gyrus medial segment,9415.8,R,GM,FRONTAL,FRONTAL_GM,FRONTAL_MEDIAL_GM,30
R153,153,SINGLE,Left MSFG,Left MSFG  superior frontal gyrus medial segment,8737,L,GM,FRONTAL,FRONTAL_GM,FRONTAL_MEDIAL_GM,30
R154,154,SINGLE,Right MTG,Right MTG   middle temporal gyrus,16084.6,R,GM,TEMPORAL,TEMPORAL_GM,TEMPORAL_LATERAL_GM,60
R155,155,SINGLE,Left MTG,Left MTG   middle temporal gyrus,15793.8,L,GM,TEMPORAL,TEMPORAL_GM,TEMPORAL_LATERAL_GM,60
R156,156,SINGLE,Right OCP,Right OCP   occipital pole,4054.5,R,GM,OCCIPITAL,OCCIPITAL_GM,OCCIPITAL_LATERAL_GM,45
R157,157,SINGLE,Left OCP,Left OCP   occipital pole,4297.6,L,GM,OCCIPITAL,OCCIPITAL_GM,OCCIPITAL_LATERAL_GM,45
R160,160,SINGLE,Right OFuG,Right OFuG  occipital fusiform gyrus,4857.3,R,GM,OCCIPITAL,OCCIPITAL_GM,OCCIPITAL_INFERIOR_GM,42
R161,161,SINGLE,Left OFuG,Left OFuG  occipital fusiform gyrus,5087.5,L,GM,OCCIPITAL,OCCIPITAL_GM,OCCIPITAL_INFERIOR_GM,42
R162,162,SINGLE,Right OpIFG,Right OpIFG opercular part of the inferior frontal gyrus,4094.1,R,GM,FRONTAL,FRONTAL_GM,FRONTAL_LATERAL_GM,22
R163,163,SINGLE,Left OpIFG,Left OpIFG opercular part of the inferior frontal gyrus,3747,L,GM,FRONTAL,FRONTAL_GM,FRONTAL_LATERAL_GM,22
R164,164,SINGLE,Right OrIFG,Right OrIFG orbital part of the inferior frontal gyrus,1944.4,R,GM,FRONTAL,FRONTAL_GM,FRONTAL_LATERAL_GM,23
R165,165,SINGLE,Left OrIFG,Left OrIFG orbital part of the inferior frontal gyrus,1901.2,L,GM,FRONTAL,FRONTAL_GM,FRONTAL_LATERAL_GM,23
R166,166,SINGLE,Right PCgG,Right PCgG  posterior cingulate gyrus,4324.3,R,GM,LIMBIC,LIMBIC_GM,LIMBIC_CINGULATE_GM,39
